LLM,Alignment,Precision,Recall,F1
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-ru/component/no_validation,90.20,52.27,66.19
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-ru/component/llm_with_agent,97.67,47.73,64.12
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-pt-ru/component/source_no_validation,67.95,60.23,63.86
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-pt-ru/component/source,79.03,55.68,65.33
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-pt-ru/component/target_no_validation,70.51,62.50,66.27
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-pt-ru/component/target,85.42,46.59,60.29
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-pt-ru/component/no_validation,84.21,54.55,66.21
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-pt-ru/component/llm_with_agent,94.44,38.64,54.84
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cn/component/source_no_validation,7.14,6.25,6.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cn/component/source,16.67,6.25,9.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cn/component/target_no_validation,3.33,6.25,4.35
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cn/component/target,33.33,6.25,10.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cn/component/no_validation,9.09,6.25,7.41
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cn/component/llm_with_agent,50.00,6.25,11.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cz/component/source_no_validation,15.38,12.50,13.79
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cz/component/source,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cz/component/target_no_validation,9.09,12.50,10.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cz/component/target,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cz/component/no_validation,18.18,12.50,14.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-cz/component/llm_with_agent,66.67,12.50,21.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-en/component/source_no_validation,19.05,25.00,21.62
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-en/component/source,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-en/component/target_no_validation,20.00,31.25,24.39
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-en/component/target,35.71,31.25,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-en/component/no_validation,30.77,25.00,27.59
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-en/component/llm_with_agent,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-es/component/source_no_validation,12.50,12.50,12.50
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-es/component/source,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-es/component/target_no_validation,10.00,12.50,11.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-es/component/target,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-es/component/no_validation,20.00,12.50,15.38
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-es/component/llm_with_agent,66.67,12.50,21.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-fr/component/source_no_validation,15.38,13.33,14.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-fr/component/source,66.67,13.33,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-fr/component/target_no_validation,4.76,6.67,5.56
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-fr/component/target,66.67,13.33,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-fr/component/no_validation,14.29,6.67,9.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-fr/component/llm_with_agent,100.00,13.33,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-nl/component/source_no_validation,7.69,6.25,6.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-nl/component/source,33.33,6.25,10.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-nl/component/target_no_validation,4.55,6.25,5.26
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-nl/component/target,16.67,6.25,9.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-nl/component/no_validation,11.11,6.25,8.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-nl/component/llm_with_agent,50.00,6.25,11.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-pt/component/source_no_validation,18.18,12.50,14.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-pt/component/source,100.00,6.25,11.76
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-pt/component/target_no_validation,13.33,12.50,12.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-pt/component/target,66.67,12.50,21.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-pt/component/no_validation,25.00,12.50,16.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-pt/component/llm_with_agent,100.00,6.25,11.76
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-ru/component/source_no_validation,21.43,37.50,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-ru/component/source,50.00,37.50,42.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-ru/component/target_no_validation,25.00,43.75,31.82
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-ru/component/target,58.33,43.75,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-ru/component/no_validation,33.33,37.50,35.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-ar-ru/component/llm_with_agent,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ar/component/target_no_validation,5.88,6.67,6.25
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ar/component/target,33.33,6.67,11.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-cz/component/source_no_validation,17.14,37.50,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-cz/component/source,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-cz/component/target_no_validation,15.56,43.75,22.95
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-cz/component/target,21.05,25.00,22.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-cz/component/no_validation,21.74,31.25,25.64
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-cz/component/llm_with_agent,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-de/component/source_no_validation,16.67,18.75,17.65
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-de/component/source,25.00,12.50,16.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-de/component/target_no_validation,10.34,18.75,13.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-de/component/target,33.33,18.75,24.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-de/component/no_validation,25.00,18.75,21.43
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-de/component/llm_with_agent,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-en/component/source_no_validation,20.00,43.75,27.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-en/component/source,36.84,43.75,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-en/component/target_no_validation,17.50,43.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-en/component/target,29.17,43.75,35.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-en/component/no_validation,25.00,37.50,30.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-en/component/llm_with_agent,46.67,43.75,45.16
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-es/component/source_no_validation,14.29,25.00,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-es/component/source,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-es/component/target_no_validation,11.43,25.00,15.69
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-es/component/target,33.33,25.00,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-es/component/no_validation,26.67,25.00,25.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-es/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-fr/component/source_no_validation,16.67,25.00,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-fr/component/source,42.86,18.75,26.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-fr/component/target_no_validation,11.43,25.00,15.69
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-fr/component/target,23.08,18.75,20.69
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-fr/component/no_validation,22.22,25.00,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-fr/component/llm_with_agent,42.86,18.75,26.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-nl/component/source_no_validation,5.88,6.25,6.06
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-nl/component/source,50.00,6.25,11.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-nl/component/target_no_validation,3.70,6.25,4.65
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-nl/component/target,16.67,6.25,9.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-nl/component/no_validation,11.11,6.25,8.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-nl/component/llm_with_agent,100.00,6.25,11.76
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-pt/component/source_no_validation,12.50,18.75,15.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-pt/component/source,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-pt/component/target_no_validation,11.11,18.75,13.95
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-pt/component/target,21.43,18.75,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-pt/component/no_validation,20.00,18.75,19.35
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-pt/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ru/component/source_no_validation,17.86,31.25,22.73
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ru/component/source,57.14,25.00,34.78
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ru/component/target_no_validation,20.00,31.25,24.39
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ru/component/target,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ru/component/no_validation,41.67,31.25,35.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cn-ru/component/llm_with_agent,66.67,25.00,36.36
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ar/component/target_no_validation,6.67,6.67,6.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ar/component/target,100.00,6.67,12.50
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-cn/component/source_no_validation,12.90,25.00,17.02
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-cn/component/source,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-cn/component/target_no_validation,4.76,12.50,6.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-cn/component/target,28.57,12.50,17.39
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-cn/component/no_validation,10.53,12.50,11.43
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-cn/component/llm_with_agent,66.67,12.50,21.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-de/component/source_no_validation,17.65,37.50,24.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-de/component/source,66.67,25.00,36.36
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-de/component/target_no_validation,16.22,37.50,22.64
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-de/component/target,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-de/component/no_validation,31.58,37.50,34.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-de/component/llm_with_agent,60.00,18.75,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-en/component/source_no_validation,20.00,56.25,29.51
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-en/component/source,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-en/component/target_no_validation,16.67,50.00,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-en/component/target,17.65,18.75,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-en/component/no_validation,33.33,50.00,40.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-en/component/llm_with_agent,75.00,18.75,30.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-es/component/source_no_validation,16.67,43.75,24.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-es/component/source,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-es/component/target_no_validation,14.00,43.75,21.21
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-es/component/target,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-es/component/no_validation,27.27,37.50,31.58
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-es/component/llm_with_agent,75.00,18.75,30.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-fr/component/source_no_validation,12.50,31.25,17.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-fr/component/source,42.86,18.75,26.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-fr/component/target_no_validation,7.84,25.00,11.94
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-fr/component/target,18.18,12.50,14.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-fr/component/no_validation,13.64,18.75,15.79
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-fr/component/llm_with_agent,40.00,12.50,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-nl/component/source_no_validation,13.33,37.50,19.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-nl/component/source,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-nl/component/target_no_validation,14.89,43.75,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-nl/component/target,41.67,31.25,35.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-nl/component/no_validation,28.57,37.50,32.43
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-nl/component/llm_with_agent,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-pt/component/source_no_validation,20.59,43.75,28.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-pt/component/source,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-pt/component/target_no_validation,16.67,37.50,23.08
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-pt/component/target,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-pt/component/no_validation,27.27,37.50,31.58
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-pt/component/llm_with_agent,80.00,25.00,38.10
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ru/component/source_no_validation,20.51,50.00,29.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ru/component/source,66.67,37.50,48.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ru/component/target_no_validation,25.00,50.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ru/component/target,54.55,37.50,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ru/component/no_validation,38.10,50.00,43.24
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-cz-ru/component/llm_with_agent,75.00,37.50,50.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cn/component/source_no_validation,3.85,6.25,4.76
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cn/component/source,14.29,6.25,8.70
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cn/component/target_no_validation,2.38,6.25,3.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cn/component/target,16.67,6.25,9.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cn/component/no_validation,7.14,6.25,6.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cn/component/llm_with_agent,33.33,6.25,10.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cz/component/source_no_validation,16.33,50.00,24.62
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cz/component/source,50.00,31.25,38.46
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cz/component/target_no_validation,13.79,50.00,21.62
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cz/component/target,26.32,31.25,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cz/component/no_validation,30.77,50.00,38.10
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-cz/component/llm_with_agent,100.00,31.25,47.62
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-en/component/source_no_validation,16.67,43.75,24.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-en/component/source,33.33,25.00,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-en/component/target_no_validation,10.77,43.75,17.28
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-en/component/target,16.67,25.00,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-en/component/no_validation,30.43,43.75,35.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-en/component/llm_with_agent,36.36,25.00,29.63
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-es/component/source_no_validation,17.95,43.75,25.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-es/component/source,50.00,31.25,38.46
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-es/component/target_no_validation,13.46,43.75,20.59
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-es/component/target,20.00,18.75,19.35
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-es/component/no_validation,30.43,43.75,35.90
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-es/component/llm_with_agent,50.00,18.75,27.27
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-fr/component/source_no_validation,13.51,31.25,18.87
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-fr/component/source,23.53,25.00,24.24
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-fr/component/target_no_validation,10.00,31.25,15.15
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-fr/component/target,17.39,25.00,20.51
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-fr/component/no_validation,23.81,31.25,27.03
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-fr/component/llm_with_agent,44.44,25.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-nl/component/source_no_validation,16.67,37.50,23.08
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-nl/component/source,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-nl/component/target_no_validation,10.71,37.50,16.67
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-nl/component/target,21.05,25.00,22.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-nl/component/no_validation,30.00,37.50,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-nl/component/llm_with_agent,60.00,18.75,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-pt/component/source_no_validation,8.57,18.75,11.76
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-pt/component/source,27.27,18.75,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-pt/component/target_no_validation,7.89,18.75,11.11
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-pt/component/target,9.09,12.50,10.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-pt/component/no_validation,15.79,18.75,17.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-pt/component/llm_with_agent,22.22,12.50,16.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-ru/component/source_no_validation,25.93,43.75,32.56
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-ru/component/source,50.00,37.50,42.86
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-ru/component/target_no_validation,22.22,37.50,27.91
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-ru/component/target,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-ru/component/no_validation,37.50,37.50,37.50
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-de-ru/component/llm_with_agent,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ar/component/source_no_validation,16.67,20.00,18.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ar/component/source,37.50,20.00,26.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ar/component/target_no_validation,9.09,13.33,10.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ar/component/target,33.33,13.33,19.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ar/component/no_validation,18.18,13.33,15.38
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ar/component/llm_with_agent,50.00,13.33,21.05
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cn/component/source_no_validation,17.95,43.75,25.45
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cn/component/source,28.57,37.50,32.43
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cn/component/target_no_validation,14.58,43.75,21.88
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cn/component/target,40.00,37.50,38.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cn/component/no_validation,29.17,43.75,35.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cn/component/llm_with_agent,54.55,37.50,44.44
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cz/component/source_no_validation,20.51,50.00,29.09
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cz/component/source,27.27,18.75,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cz/component/target_no_validation,17.65,56.25,26.87
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cz/component/target,40.00,37.50,38.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cz/component/no_validation,34.78,50.00,41.03
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-cz/component/llm_with_agent,60.00,18.75,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-de/component/source_no_validation,21.88,43.75,29.17
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-de/component/source,35.29,37.50,36.36
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-de/component/target_no_validation,17.50,43.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-de/component/target,38.46,31.25,34.48
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-de/component/no_validation,38.89,43.75,41.18
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-de/component/llm_with_agent,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-es/component/source_no_validation,18.60,50.00,27.12
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-es/component/source,25.00,25.00,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-es/component/target_no_validation,17.02,50.00,25.40
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-es/component/target,33.33,25.00,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-es/component/no_validation,29.63,50.00,37.21
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-es/component/llm_with_agent,40.00,25.00,30.77
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-fr/component/source_no_validation,21.62,50.00,30.19
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-fr/component/source,25.00,25.00,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-fr/component/target_no_validation,15.38,50.00,23.53
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-fr/component/target,27.27,18.75,22.22
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-fr/component/no_validation,34.78,50.00,41.03
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-fr/component/llm_with_agent,60.00,18.75,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-nl/component/source_no_validation,17.65,37.50,24.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-nl/component/source,30.77,25.00,27.59
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-nl/component/target_no_validation,16.22,37.50,22.64
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-nl/component/target,26.67,25.00,25.81
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-nl/component/no_validation,31.58,37.50,34.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-nl/component/llm_with_agent,50.00,25.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-pt/component/source_no_validation,20.00,50.00,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-pt/component/source,18.75,18.75,18.75
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-pt/component/target_no_validation,20.00,50.00,28.57
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-pt/component/target,31.58,37.50,34.29
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-pt/component/no_validation,30.77,50.00,38.10
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-pt/component/llm_with_agent,37.50,18.75,25.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ru/component/source_no_validation,23.53,50.00,32.00
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ru/component/source,38.10,50.00,43.24
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ru/component/target_no_validation,27.59,50.00,35.56
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ru/component/target,61.54,50.00,55.17
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ru/component/no_validation,42.11,50.00,45.71
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-en-ru/component/llm_with_agent,66.67,50.00,57.14
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ar/component/source_no_validation,14.29,13.33,13.79
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ar/component/source,100.00,20.00,33.33
gpt-4o-mini-2024-07-18,multifarm/cmt-conference-es-ar/component/target_no_validation,15.38,13.33,14.29
